layer,kv,win_primary,win3_primary,diffuse_primary,margin_3,margin_10,margin_25,margin_50,facility_3,kcenter_3,keydiff_cen_3,keydiff_unc_3,logdet_cen_3,facility_10,kcenter_10,keydiff_cen_10,keydiff_unc_10,logdet_cen_10,facility_25,kcenter_25,keydiff_cen_25,keydiff_unc_25,logdet_cen_25,facility_50,kcenter_50,keydiff_cen_50,keydiff_unc_50,logdet_cen_50,PR,spectral_tail,outlier_fraction,clusteredness
0,0,facility,facility,0,0.0135,0.1097,0.3703,4.5462,0.1224,0.1358,10.2379,1.3373,-0.2687,1.0059,1.1156,7.8491,1.4978,1.1200,11.0671,11.4375,7.1013,6.9267,16.2828,6.6145,11.1607,4.5764,3.6749,10.3580,3.0676,0.5038,0.0927,0.4091
0,1,facility,facility,0,0.0072,0.1090,0.0174,0.4590,0.2231,0.2304,122.6351,0.1572,-0.2182,2.9100,3.0190,686.8639,0.7200,3.3090,-5.7979,-5.8153,-864.0310,-2.2087,-6.8374,-0.3990,-0.8580,-11.6108,0.0343,-0.9841,1.4310,0.1704,0.1507,0.5023
0,2,kcenter,keydiff_cen,0,8.9745,0.2384,0.0140,0.9655,108.8443,99.8698,-1432.5281,-50.5588,144.8474,0.3329,0.0945,-21.5859,-1.7941,1.1065,-1.1087,-1.1227,-6.0244,-0.8504,-0.0591,-0.6750,-1.6405,-1.4480,-0.5334,-0.2138,2.7870,0.4757,0.0186,0.3322
0,3,kcenter,keydiff_cen,0,0.1727,0.1236,0.0215,0.8928,1.2187,1.0460,-123.9757,0.0262,1.1197,0.1577,0.0341,-32.4210,-0.2683,0.7888,-0.9295,-0.9510,-3.6528,-1.6764,0.4988,-1.1681,-0.2753,-2.9528,-1.8786,-1.1638,1.5275,0.2061,0.2626,0.7550
0,4,kcenter,keydiff_cen,0,0.2045,0.0099,0.0032,0.2751,0.6081,0.4036,-7.3453,-6.8780,0.6207,0.8530,0.8431,-0.6426,-0.0181,0.9183,0.6468,0.6436,-0.8790,0.0704,0.8192,0.8009,0.5258,0.3506,0.4691,0.6994,2.5182,0.4254,0.0189,0.3942
0,5,kcenter,keydiff_cen,0,0.0348,0.0452,0.0221,1.7410,0.4690,0.4341,-2.4365,-0.0311,0.4237,-0.1848,-0.2300,-2.3408,-0.0409,0.2952,-1.2210,-1.2430,-0.1182,-0.0792,0.0786,-0.1319,-1.8729,-0.2172,0.0081,-0.9776,2.0786,0.3720,0.0492,0.5697
0,6,facility,keydiff_cen,0,0.2656,0.3520,0.7188,2.7615,0.8505,1.1161,0.6121,2.5561,1.7949,-1.0319,-0.6799,-3.6887,-1.5121,-1.6564,34.6864,35.4053,87.3249,31.5606,29.2310,10.5139,13.2754,22.6282,11.1087,10.6993,1.9770,0.3060,0.0024,0.5430
0,7,facility,facility,0,0.1537,0.2935,0.1263,5.2811,1.7332,1.8869,21.9971,1.3415,0.0191,3.5422,3.8357,26.0484,2.6156,1.5139,5.6856,5.8119,15.2623,2.6051,2.3875,4.8642,10.1453,3.1468,2.1926,2.9489,3.5388,0.5249,0.0582,0.3406
1,0,kcenter,kcenter,0,0.9815,0.0021,0.0008,0.0012,1.0080,0.0265,1.4973,0.0307,0.0268,0.0434,0.0455,1.3307,0.0529,0.0482,0.0782,0.0774,0.7596,0.1008,0.0903,0.0706,0.0719,0.0984,0.0998,0.0868,7.9972,0.7388,0.0183,0.2119
1,1,kcenter,kcenter,0,0.9823,0.0006,0.0054,0.0037,1.0619,0.0795,3.4595,0.0950,0.0797,0.1086,0.1092,3.1489,0.1441,0.1106,0.1383,0.1437,2.8220,0.2011,0.1343,0.2160,0.2197,0.2797,0.2694,0.1604,7.2608,0.7267,0.0548,0.1944
